Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-1007,49.3791435014385,47.52566506869701,122.801219559809,8128.3774394098955
STARLINK-1008,-33.64702582511903,8.706998506340646,556.1812182014388,166736.67626668417
STARLINK-1009,14.425226380231434,49.64565746353803,544.8366698039746,160004.1184887788
STARLINK-1010,-52.397191331853,-37.64019824996119,563.847197902493,171364.6960654097
STARLINK-1011,-50.2530149947033,-5.5234759447236055,563.4557177569078,171126.8210258962
STARLINK-1012,51.49509661171546,108.62322677747173,550.0877653406316,163103.19693591996
STARLINK-1013,29.173031750248917,63.233284742550815,545.4842826535854,160384.71807968876
STARLINK-1014,52.744933618000616,111.56691957523287,523.2570842891447,147580.41790215982
STARLINK-1015,1.3853516437071007,-142.13685494135623,545.0620207395906,160136.50507955375
STARLINK-1017,-51.58456606964177,-70.86199657806762,563.5953232588437,171211.63054896396
STARLINK-1019,52.63541909309353,140.17967038802368,550.2376383987787,163192.0849515597
STARLINK-1020,48.222704691229296,115.39428467807257,549.0543703026952,162490.9611222085
STARLINK-1021,44.79449578736584,170.6029464372925,548.3014306167619,162045.6063049147
STARLINK-1027,40.62035562589538,-161.3382590559778,547.9648675389451,161846.7309188775
STARLINK-1028,32.231220542715235,-169.58581327991183,545.9673201523257,160668.89174690194
STARLINK-1029,37.061327935562396,-7.034864711756909,549.570520968317,162796.61114200565
STARLINK-1030,52.967293788486536,141.01278144201032,550.9126950906908,163592.7536022706
STARLINK-1031,4.529855570573965,61.952395974468715,545.5797188698132,160440.8438017694
STARLINK-1032,-40.166051040491055,19.406823535114835,559.1931515655939,168547.4514003441
STARLINK-1035,-26.62735736546611,36.540288931105025,553.7284003824328,165269.26648541438
STARLINK-1036,-53.04492536307713,-37.63336887444891,564.7340269502441,171904.17095261608
STARLINK-1038,-4.3082666129163005,75.32437977760576,547.2312132912525,161413.6372656849
STARLINK-1039,-47.506758845763976,23.826675421516928,563.0333079867715,170870.33753157133
STARLINK-1042,-18.36061515630441,47.229939757814535,499.31470924302096,134383.89424648575
STARLINK-1043,40.12061927028247,117.63226018251345,548.8157060384847,162349.72790702264
STARLINK-1046,-20.981460041158286,61.89019708070447,552.2070347793078,164362.3613346855
STARLINK-1047,-36.56958254765971,-87.74711644994797,557.0172135405843,167238.29638238158
STARLINK-1048,-14.843780167192211,-130.01522718880764,548.8681369682477,162380.74944554595
STARLINK-1052,-39.48246552229001,-122.23836794070468,448.83065884925406,108583.42401454874
STARLINK-1053,49.300022769229514,139.0581849031473,551.4217592757514,163895.22507954435
STARLINK-1054,3.6502516366081474,-104.17930862467554,545.6465305604818,160480.14137827422
STARLINK-1055,42.06403478318826,40.172157280026006,399.22511966090167,85908.12126316853
STARLINK-1056,-11.288998262797717,-92.85387365075553,548.7105589622739,162287.52500810652
STARLINK-1057,-4.3341905248046,-118.19435116055578,546.8261149839315,161174.74669384785
STARLINK-1058,53.1836934803034,170.75959866180912,537.204051075042,155552.5231832309
STARLINK-1059,51.61606747968895,20.491334267168558,364.4386628641596,71589.18051881848
STARLINK-1060,50.51638463268792,173.3502263385438,550.290200362293,163223.2645929097
STARLINK-1061,-28.239109299916066,54.470635985778685,528.0144815145616,150276.18789627077
STARLINK-1062,-24.64102414824086,-80.79259365506289,553.8463867155216,165339.70387729272
STARLINK-1063,26.174952897582745,100.12842258590896,546.9892898607395,161270.9512922512
STARLINK-1067,53.0390030049212,174.85542643911413,551.3165609523428,163832.69632377403
STARLINK-1068,27.162480457826632,-144.01063820041705,545.7013767973377,160512.40466122172
STARLINK-1073,40.37161025413663,-121.9485548633079,549.0902640148521,162512.2070852496
STARLINK-1084,-50.38300980607953,83.19722279883847,563.7101201357443,171281.38471955858
STARLINK-1098,-40.7756000514336,58.72964030368121,559.5411444623866,168757.2950511178
STARLINK-1102,1.602933842506963,112.23907543412625,436.51781942265603,102707.57046296896
STARLINK-1103,-0.9109305817900506,-162.16673880625027,547.1293703793183,161353.56282269114
STARLINK-1104,20.281688764012454,2.513630218380598,545.359777549155,160311.5118011228
STARLINK-1106,-34.37819684436251,99.64259068014134,453.28930655125913,110751.4573457074
STARLINK-1112,-6.209842104059392,-166.1043655648975,548.3757230292249,162089.5222020777
STARLINK-1114,-47.096504866867,144.96465929801687,562.3512339540058,170456.59424178768
STARLINK-1123,-26.96922597989485,40.9340506815558,553.7354162837403,165273.45453214523
STARLINK-1130 (DARKSAT),-53.05429457625305,114.52540313155056,565.2439578881912,172214.75550125452
STARLINK-1144,-24.267215660049857,38.12011200468947,545.2254858837933,160232.5699717148
STARLINK-1071,45.09215695967112,-132.81205116295124,550.189849675809,163163.73937092363
STARLINK-1079,0.36017114836177544,-18.44342777240601,491.9824572641754,130466.11692216709
STARLINK-1091,-52.55002045058811,76.1440659877201,565.0352655676014,172087.61301056977
