,Multiplier,Radii_Km,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
11,15.0,180975.0,10.508989051977794,0.0047701557477317635,182147114.081438,2527.5018204152584,2195881.8567460524,268454.37421937054,1935.9213932454586,1935.9213932454586,122.80187835001146,0.001704018055107781,1.4804429815042894,0.18098942479361035,0.0013051800717645314,0.0013051800717645314,First-Choice Hill Climbing
0,0.1,1206.5,6.403053176403046,0.002488323052724617,8163.775674064125,0.10210361741337692,135.37678086331763,0.10210361741312113,0.0,0.0,0.00550394109870429,6.883730257166432e-08,9.126975773857425e-05,6.88373025721251e-08,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
1,0.2,2413.0,6.412019054094951,0.03226064443588328,32670.432207454938,0.06987654434124124,547.8132236971658,0.06987654434180968,0.0,0.0,0.022026099407693147,4.711011174218793e-08,0.0003693305446767025,4.711011174153741e-08,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
2,0.3,3619.5,6.406068515777588,0.0031305511792503182,73516.65221623327,0.012313620885834098,1212.2335914625894,0.012313620878330767,0.0,0.0,0.049564238377784925,8.301727874582276e-09,0.0008172765337584708,8.301727868510744e-09,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
3,0.4,4826.0,6.4124506632486975,0.002735805511473899,130682.8713216442,8.602064705148223,2143.347149263057,8.602064705126395,0.0,0.0,0.0881051678880602,5.799431458494708e-06,0.0014450245737517744,5.7994314584942745e-06,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
4,0.5,6032.5,6.59997748931249,0.11658088763554897,204239.93804024594,37.36665005231043,3384.5990680171785,37.366650052316345,0.0,0.0,0.13769665334482556,2.5192245494604082e-05,0.002281864991988713,2.5192245494597143e-05,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
5,1.0,12065.0,8.647680556774139,0.06731308301289829,817217.6632587919,444.5514378394,11118.395478345437,422.26279239625364,704.0432543974603,704.0432543974603,0.5509604946258861,0.00029971241578641283,0.007495918098206274,0.0002846856197809243,0.0004746593681468254,0.0004746593681468254,Random Restart Hill Climbing with Simulated Annealing
6,2.0,24130.0,8.979383516311646,0.11720375617345269,3272824.973855588,3514.091950512957,44770.35203862067,763.4730619086404,9466.404950230382,4600.086510568857,2.2065079445650717,0.0023691678805555227,0.030183752031754833,0.0005147263877598278,0.006382161556456981,0.0031013352416763467,Random Restart Hill Climbing with Simulated Annealing
7,3.0,36195.0,9.289058780670166,0.06805785497029504,7349755.208474736,594.4281189776957,98287.9660593869,582.6823516798613,19170.09870303236,121.58308291900903,4.955136124802621,0.0004007578704863235,0.06626482616627355,0.000392838984183394,0.012924301001194908,8.197017577431416e-05,Random Restart Hill Climbing with Simulated Annealing
8,4.0,48260.0,9.534407834211985,0.03484570185343472,13074607.998689156,2293.613034132868,182378.72836845837,5914.386098389572,53636.40484393388,17203.308188121766,8.814778257816672,0.0015463324259634703,0.12295803053305446,0.003987423714244043,0.036161161794920564,0.011598309256719501,Random Restart Hill Climbing with Simulated Annealing
9,5.0,60325.0,9.640398037433624,0.07021891276041536,20398347.99088935,5356.069662570953,270392.4283619508,4622.1489209282445,55522.20247992128,2072.9030282124877,13.752375167461775,0.003611012002327385,0.1822960427450014,0.003116209512107254,0.037432548898993626,0.0013975318071089912,Random Restart Hill Climbing with Simulated Annealing
10,10.0,120650.0,10.954585639635722,0.16340346336364675,81501359.29727516,54912.1716426909,1031980.5159222973,49278.522573621245,180359.62015227973,43668.45614005625,54.947453108204336,0.037021271821991775,0.6957515984536071,0.033223118383574834,0.12159676668438421,0.029440864137141323,Random Restart Hill Climbing with Simulated Annealing
11,15.0,180975.0,13.159337814648946,0.02505537668863944,183041417.9524437,68509.41126552224,2403052.108774421,120194.51815004833,781354.5214761198,242933.787802428,123.40480964392195,0.04618840342591568,1.6201152250950077,0.08103401841217872,0.5267819003250406,0.1637836844534526,Random Restart Hill Climbing with Simulated Annealing
