Satellite, Latitude, Longitude, Altitude
STARLINK-1146, 46.583077, -129.967604, 551.38
STARLINK-1147, 24.039806, -96.637210, 547.70
STARLINK-1152, 37.989868, -113.469989, 549.66
STARLINK-1184, -37.822293, -42.228874, 560.31
STARLINK-1186, 37.739472, 137.649266, 549.66
STARLINK-1193, -48.785353, -19.077065, 564.94
STARLINK-1138, 37.765101, -62.310286, 549.43
STARLINK-1143, 8.359281, 76.391022, 547.05
STARLINK-1200, 48.916205, 23.197544, 551.85
STARLINK-1201, -0.285358, -117.935870, 547.95
STARLINK-1202, -53.204466, 171.827786, 566.23
STARLINK-1205, -30.532952, -143.902930, 556.62
STARLINK-1216, -38.060797, -133.571921, 560.23
STARLINK-1224, -37.814691, 117.761871, 559.89
STARLINK-1225, -23.570972, 101.322759, 553.96
STARLINK-1228, -27.625213, 65.005470, 555.72
STARLINK-1230, -7.900753, 88.235204, 549.17
STARLINK-1234, 53.204955, -48.066727, 552.26
STARLINK-1236, 23.713539, 63.095368, 547.39
STARLINK-1237, -48.950804, -156.920324, 564.78
STARLINK-1240, -23.897015, -117.076612, 554.27
STARLINK-1244, 48.729141, -39.260982, 551.67
STARLINK-1269, 38.029947, 46.473520, 549.62
STARLINK-1154, 0.078960, 62.218671, 547.84
STARLINK-1199, 44.060527, 15.907140, 550.41
STARLINK-1206, -16.250168, -130.314390, 551.56
STARLINK-1208, -31.030535, 89.016886, 556.82
STARLINK-1209, 48.720039, -79.293277, 551.51
STARLINK-1210, -30.049647, -143.784019, 548.70
STARLINK-1219, 52.018047, -44.393857, 552.48
STARLINK-1231, -52.011696, 135.566806, 565.71
STARLINK-1271, -15.912623, 74.588092, 551.28
STARLINK-1187, -23.607893, 61.365180, 554.10
STARLINK-1189, -7.975962, 48.295771, 549.13
STARLINK-1191, 23.738860, 23.074349, 547.36
STARLINK-1212, 37.426379, -102.150188, 549.27
STARLINK-1215, -48.932453, 163.137707, 564.42
STARLINK-1217, -48.789264, 100.938102, 564.59
STARLINK-1221, 10.413732, -134.469694, 512.48
STARLINK-1222, 48.898055, -16.740189, 551.28
STARLINK-1226, -38.117584, -173.656482, 559.91
STARLINK-1227, -23.894650, -157.073744, 553.89
STARLINK-1235, -3.976163, -172.753253, 462.02
STARLINK-1238, 19.737147, -102.164641, 546.98
STARLINK-1246, -48.761654, 140.841454, 564.63
STARLINK-1247, -8.287099, -143.975902, 549.24
STARLINK-1270, -37.842612, 77.807234, 560.11
STARLINK-1279, 52.951338, 90.049881, 552.67
STARLINK-1301, 16.109935, 169.803894, 547.09
STARLINK-1306, -53.205382, -68.215078, 566.37
STARLINK-1313, -52.512914, -176.734600, 394.47
STARLINK-1262, -8.364004, 15.964082, 549.40
STARLINK-1273, -37.755595, -122.324977, 560.00
STARLINK-1276, 23.366562, 41.129168, 547.58
STARLINK-1277, 48.520474, 80.682518, 551.36
STARLINK-1281, 53.204954, 111.845972, 552.84
STARLINK-1295, -19.582629, 6.799961, 549.20
STARLINK-1300, -23.991007, 2.835786, 554.34
STARLINK-1302, -48.737446, -99.240307, 565.01
STARLINK-1304, 23.785254, -176.971857, 547.66
STARLINK-1305, 7.782432, 28.144371, 547.07
STARLINK-1319, 37.720526, 57.622042, 549.33
STARLINK-1207, 43.762326, 48.033209, 550.58
STARLINK-1258, -0.254374, 2.088546, 547.96
STARLINK-1266, 30.784254, 28.741548, 548.26
STARLINK-1267, 44.302117, 136.054754, 550.81
STARLINK-1272, 52.008667, 75.539507, 552.19
STARLINK-1274, -31.321129, -24.794832, 557.40
STARLINK-1280, 38.054545, 166.437330, 549.69
STARLINK-1283, -43.874751, -131.740249, 562.80
STARLINK-1284, 15.624822, 14.353486, 546.70
STARLINK-1291, 31.203036, 155.338077, 548.59
STARLINK-1292, -16.291172, -10.349330, 551.84
STARLINK-1297, 0.140959, -177.828674, 548.22
STARLINK-1303, -52.117947, -71.749796, 566.31
STARLINK-1307, -30.967632, -151.055029, 557.32
STARLINK-1312, -52.021733, -104.371713, 566.20
STARLINK-1255, 27.197403, 14.883809, 547.68
STARLINK-1213, 23.670959, 89.924230, 431.10
STARLINK-1256, -20.136205, -23.641277, 553.13
STARLINK-1259, -52.952172, -89.963673, 566.67
STARLINK-1260, -27.289437, -165.018827, 555.80
STARLINK-1263, -46.750385, -60.387615, 564.11
STARLINK-1265, -50.606243, -122.105937, 565.67
STARLINK-1275, 53.163798, 59.772529, 469.25
STARLINK-1278, 48.925945, 143.168759, 551.86
STARLINK-1282, 34.708488, 141.076832, 549.15
STARLINK-1293, 40.897283, 32.658749, 550.06
STARLINK-1296, -40.958907, -147.232975, 561.54
STARLINK-1298, 50.614513, 57.927807, 552.25
STARLINK-1309, 19.994433, 156.486427, 547.25
STARLINK-1316, 11.756149, 1.233418, 547.00
STARLINK-1318, -11.890283, -178.658988, 550.54
STARLINK-1286, 8.176830, -163.893741, 547.45
STARLINK-1308, -7.921413, -151.750958, 549.60
STARLINK-1329, -0.307235, -37.952717, 548.10
