,Radii_Km,Median_Duration,MAD_Duration,Median_Total_Coverage,MAD_Total_Coverage,Median_Coverage_Above_Existing,MAD_Coverage_Above_Existing,Median_Coverage_Above_Initial,MAD_Coverage_Above_Initial,Median_Percent_Coverage,MAD_Percent_Coverage,Median_Percent_Coverage_Above_Existing,MAD_Percent_Coverage_Above_Existing,Median_Percent_Coverage_Above_Initial,MAD_Percent_Coverage_Above_Initial,Algorithm
0,1206.5,196.32520842552185,0.8799147605895996,8166.221752035279,1.6816030253430654,114.14231255029571,20.119574371994617,3.4242304680992675,3.4242304680992675,0.005505590221562827,1.133721010034179e-06,7.695367808091347e-05,1.3564428604556598e-05,2.3085841107420597e-06,2.3085841107420597e-06,First-Choice Hill Climbing
1,6032.5,195.34546947479248,0.06644701957702637,204193.89012969116,46.387669676798396,2686.8670375555494,31.57156625052994,59.661583472043276,36.46518105044379,0.13766560827480764,3.127413243586563e-05,0.0018114605919094086,2.128525427135485e-05,4.022328079503477e-05,2.458448353656391e-05,First-Choice Hill Climbing
2,12065.0,193.47473621368408,1.1729612350463867,817017.687646229,555.7952150857309,10938.040935306182,1548.3793932620738,351.4845084196422,351.4845084196422,0.5508256729408392,0.0003747119285125722,0.00737432475446394,0.0010439028850384117,0.00023696756362312892,0.00023696756362312892,First-Choice Hill Climbing
3,24130.0,200.62468147277832,1.9481194019317627,3264462.7083904543,945.7156012491323,42108.06158305417,4690.005807382666,510.3645706162788,510.3645706162788,2.200870183508255,0.0006375926009258848,0.028388860741241705,0.003161957989417003,0.0003440830135082715,0.0003440830135082715,First-Choice Hill Climbing
4,60325.0,216.76877427101135,0.4645404815673828,20354246.31710224,9136.63266286254,249948.82340830038,37401.420796091785,5893.3630239106715,5893.3630239106715,13.722642232044441,0.006159832168911805,0.16851315575711634,0.025215687604392883,0.0039732501543294305,0.0039732501543294305,First-Choice Hill Climbing
5,120650.0,257.4525394439697,0.6569366455078125,81293949.12645735,5359.952877223492,1199526.8643147533,5359.952877240721,0.0,0.0,54.807619113612816,0.00361363002927817,0.80870977732478,0.0036136300292873846,0.0,0.0,First-Choice Hill Climbing
6,241300.0,422.12530398368835,2.099616289138794,323609476.59250015,116058.8626126051,3702246.3255646816,48591.10312675219,132344.8192217946,51899.5372069478,218.1744782388119,0.07824579818276334,2.4960197979886747,0.03275966663076746,0.08922563759677643,0.03499018190131724,First-Choice Hill Climbing
7,603250.0,1487.2492201328278,3.7968595027923584,2007275379.7916205,736729.8655941486,18215669.00140874,8208.044157307595,2563047.0738966465,1363471.463982582,1353.28626120277,0.4966963752774518,12.280833435411688,0.005533786495494297,1.7279823320905618,0.9192396909392705,First-Choice Hill Climbing
0,1206.5,192.49102139472961,0.8216712474822998,8165.369668261162,1.8189894035458565e-12,136.97077506035444,2.0179413695586845e-12,0.0,0.0,0.005505015754662812,8.673617379884035e-19,9.234441369709589e-05,1.3552527156068805e-18,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
1,6032.5,198.4185664653778,0.8291501998901367,204182.8696057633,59.37209292236366,3364.897283586843,59.37209292235957,0.0,0.0,0.1376581783407921,4.002810897776876e-05,0.0022685822334498626,4.002810897776486e-05,0.0,0.0,Random Restart Hill Climbing with Simulated Annealing
2,12065.0,263.9969792366028,5.518038988113403,817702.7508067685,189.67873763409443,10911.430571476682,45.80446700999164,1468.9115972620202,395.03141138656065,0.5512875361074717,0.00012787962840909994,0.007356384296398933,3.088094266008156e-05,0.000990326441259132,0.0002663264777493903,Random Restart Hill Climbing with Simulated Annealing
3,24130.0,268.3536331653595,1.2321972846984863,3269138.3957536193,586.121920955833,43155.55121991646,1122.432046325106,5834.797367756255,668.2014548024163,2.204022488136685,0.0003951579095748947,0.029095068443776857,0.0007567331730951483,0.003933765737467642,0.00045049516254899117,Random Restart Hill Climbing with Simulated Annealing
4,60325.0,287.78369307518005,1.4757740497589111,20398670.990273375,7261.559785548598,256199.2405217917,17683.978684099682,38307.43591721356,3061.484944574535,13.752592930621319,0.004895675596689131,0.17272712843452376,0.011922372803217035,0.02582651451344576,0.0020640244762041293,Random Restart Hill Climbing with Simulated Annealing
5,120650.0,332.8730115890503,0.7731082439422607,81479402.91420263,76364.50420252979,1042318.3410394795,92366.83487731894,219828.1030241102,54454.2493712008,54.932650320377164,0.051484233514379696,0.7027212633250269,0.06227285497978707,0.14820604818043376,0.0367125449153896,Random Restart Hill Climbing with Simulated Annealing
6,241300.0,510.0170488357544,1.8229308128356934,324439646.57359076,374395.4799144268,3833677.806465985,137605.76183925522,1213191.7206729054,372011.0546723008,218.73417106481043,0.2524139260241043,2.584629671443971,0.09277251583623558,0.8179224954983654,0.250806368857989,Random Restart Hill Climbing with Simulated Annealing
7,603250.0,1645.1651678085327,16.35608696937561,2008445987.7350323,201940.7405116558,18843782.040252093,348613.1536290981,5002882.462907076,902494.4360122681,1354.0754741144724,0.136146555905043,12.704301363383422,0.23503172311604104,3.3728965002137694,0.6084532961262816,Random Restart Hill Climbing with Simulated Annealing
